Título,Calificación,Géneros,Duración,Clasificación por edades,Director,Año,Reparto
William the Conqueror,39%  6.1,"Historia, Documental, Drama",54min,,,(2013),", Dan Bronchinson, Benjamin Hubert, Antoine Lelandais, Nicolas Marié"
Titus Andronicus,83%  7.8,"Drama, Terror",2h 48min,,Jane Howell,(1985),", Trevor Peacock, Eileen Atkins, Anna Calder-Marshall, Brian Protheroe, Edward Hardwicke, Gavin Richards, Hugh Quarshie, Neil McCaul, Michael Crompton, Nicholas Gecks, Crispin Redman, Paul Davies Prowles, Walter Brown, Tom Hunsinger, Michael Packer, Derek Fuke, John Benfield, Paul Kelly, Deddie Davies, Tim Potter"
Thunder Run on Baghdad,34%,,1h 57min,,Jean-Pierre Krief,(2013),
The Road to Fame,40%  7.3,"Música, Documental, Europeas",1h 20min,,Hao Wu,(2013),
The Night Before Christmas,39%,Animación,8min,,Wilfred Jackson,(1933),", Donald Novis, Kenny Baker"
The Natural History of the Chicken,72%  7.0,"Documental, Comedia",55min,,Mark Lewis,(2000),
The Milky Way,79%  7.7,"Documental, Familia, Europeas",1h 33min,,Jon Fitzgerald,(2016),", Minnie Driver, Rachel Luttrell, Alanis Morissette, Carrie-Anne Moss"
The Little Match Girl,39%,"Drama, Fantasía",32min,,"Jean Renoir ,  Jean Tédesco",(1928),", Catherine Hessling, Eric Barclay, Jean Storm, Manuel Raaby, Amy Wells, Guy Ferrant, Mme. Heuschling, Comtesse Tolstoi"
The Jupiter Enigma,85%  6.9,Documental,45min,,Thomas Lucas,(2018),
The End of the World,4%,"Ciencia ficción, Drama, Romance",5min,,Nick P. Smith,(2014),", Kelsey Formost, Nick P. Smith, Ian McQuown, Jon Eidson, Evan Todd"
The Bigamist,74%  6.8 (4k),Drama,1h 20min,,Ida Lupino,(1953),", Joan Fontaine, Ida Lupino, Edmund Gwenn, Edmond O'Brien, Kenneth Tobey, Jane Darwell, Peggy Maley, Lillian Fontaine, Matt Dennis, John Maxwell, Bess Flowers, Walter Bacon, Ralph Brooks, Jack Chefe, Kem Dibbs, Ken Drake, Jerry Hausner, Donald Kerr, Mike Lally, Monty O'Grady, James Todd, Mack Williams, Collier Young, James Young"
The Big Sleep,64%  5.7 (5k),"Drama, Misterio & Suspense, Crimen",1h 40min,,Michael Winner,(1978),", Robert Mitchum, Sarah Miles, Richard Boone, Candy Clark, Joan Collins, Edward Fox, John Mills, James Stewart, Oliver Reed, Harry Andrews, Colin Blakely, Richard Todd, Diana Quick, James Donald, John Justin, Simon Fisher-Turner, Martin Potter, David Savile, Dudley Sutton, Don Henderson, Nik Forster, Joe Ritchie, Patrick Durkin, Derek Deadman, Judy Buxton, Clifford Earl, Roy Evans, Pat Gorman, Walter Henry, David Jackson, Anthony Lang, Mike Lewin, Brian Miller, David Millett, Norman Mitchell, Barry Purchese, Michael Segal, John Tatham, Cy Town"
Target for Tonight,65%  6.3,"Documental, Drama, Guerra",48min,,Harry Watt,(1941),", Percy Charles Pickard"
Spiral,59%  4.4,Misterio & Suspense,2h 0min,,,(2018),", Michael Vlamis"
Snowden,79%  7.3 (154k),"Drama, Misterio & Suspense, Crimen",2h 14min,7,Oliver Stone,(2016),", Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo, Zachary Quinto, Tom Wilkinson, Scott Eastwood, Timothy Olyphant, Ben Schnetzer, Lakeith Stanfield, Rhys Ifans, Nicolas Cage, Joely Richardson, Jaymes Butler, Robert Firth, Ben Chaplin, Bhasker Patel, Edward Snowden, Christy Meyer, Gregory Schwabe, Patrick Joseph Byrnes, Jamie Hodge, Mathangi Ray, Alan Rusbridger, Stephanie Simbeck, Logan Marshall-Green, Demetri Goritsas, Rachel Handshaw, Christian Contreras, Parker Sawyers, Michael Benz, Ken Thomas, Nicholas Rowe, Erol Sander, Anatoly Kucherena, Eric Kofi Abrefa, Stanley I. Walker Jr., Olga Koda, Alexandra Adomaitis, Andreas Dubois, Barack Obama, Osama bin Laden, Hugo Chávez, Hillary Clinton, Sarah Harrison, John Kerry, Michelle Obama, Vladimir Putin, Donald Trump, Al Sotto"
Shor Se Shuruaat,62%  6.6,Drama,2h 5min,,Amira Bhargava,(2016),", Sanjay Mishra, Rasika Dugal, Atul Kulkarni, Suchitra Pillai, Sakshi Tanwar, Vijay Maurya, Saurabh Goyal, Suyash Joshi, Omkar Kulkarni"
Rise of the Great White Shark,54%,,49min,,Andy Casagrande,(2017),
Oliver Twist,74%  6.8 (33k),"Crimen, Drama, Familia, Europeas",2h 10min,,Roman Polanski,(2005),", Barney Clark, Ben Kingsley, Jamie Foreman, Harry Eden, Edward Hardwicke, Leanne Rowe, Ian McNeice, Chris Overton, Andy Linden, Teresa Churcher, Jake Curran, Turbo, Lewis Chase, Levi Hayes, Jeremy Swift, Gillian Hanna, Michael Heath, Patrick Godfrey, Mark Strong, Ophelia Lovibond, Liz Smith, Andy de la Tour, Richard Durden, Peter Copley, John Nettleton, Tony Noble, Gerard Horan, Morgane Polanski, Alun Armstrong, Frances Cuka, Paul Brooke, Nick Stringer, Frank Mills, Richard Ridings"
Make Believe,71%  7.0,"Documental, Familia",1h 28min,,J. Clay Tweel,(2011),", Ed Alonzo, Kyle Eschen"
Life with Murder,73%  6.8,Documental,1h 35min,,John Kastner,(2010),
Joan of Arc,64%  5.9,"Drama, Historia, Guerra, Europeas",2h 17min,,Bruno Dumont,(2020),", Lise Leplat Prudhomme, Fabrice Luchini, Jean-François Causeret, Annick Lavieville, Daniel Dienne, Robert Hanicotte, Justine Herbez, Yves Habert, Benoît Robail, Alain Desjacques, Serge Holvoet, Julien Manier, Christophe, Jérôme Brimeux, Benjamin Demassieux, Laurent Darras, Marc Parmentier"
How China Got Rich,34%,Documental,59min,,Rebecca Dobbs,(2019),", Michael Wood"
Hotel Coolgardie,77%  6.9,Documental,1h 24min,,Pete Gleeson,(2016),
Griefwalker,40%  7.0,Documental,1h 10min,,,(2008),
Girls In Chains,49%  4.6,"Drama, Romance, Crimen, Música",1h 15min,,Edgar G. Ulmer,(1943),", Arline Judge, Roger Clark, Robin Raymond, Barbara Pepper, Dorothy Burgess, Clancy Cooper, Jack Randall, Patricia Knox, Sid Melton, Russell Gaige, Emmett Lynn, Richard Clarke, Betty Blythe, Bess Flowers"
Generation Wealth,72%  6.7 (5k),Documental,1h 50min,,Lauren Greenfield,(2018),", Bret Easton Ellis, Kim Kardashian, Kylie Jenner, Lauren Greenfield, Eden Wood, Jaqueline Siegel, Tiffany Masters"
Death of a Child,71%  6.4,"Documental, Europeas",1h 20min,,"Frida Barkfors ,  Lasse Barkfors",(2017),
City of Ghosts,77%  7.4 (3k),"Guerra, Documental",1h 30min,,Matthew Heineman,(2017),", Abu Bakr Al-Baghdadi, Hamoud, Hassan, Hussam, Naji Jerf"
Camelot,70%  6.5 (6k),"Música, Romance, Acción & Aventura, Drama, Fantasía, Comedia",2h 59min,18,Joshua Logan,(1967),", Richard Harris, Vanessa Redgrave, Franco Nero, David Hemmings, Lionel Jeffries, Laurence Naismith, Pierre Olaf, Estelle Winwood, Anthony Rogers, Peter Bromilow, Sue Casey, Gary Marsh, Nicolas Beauvy, Fredric Abbott, Robert B. Shepard"
Author The JT LeRoy Story,73%  7.1 (1k),Documental,1h 50min,,Jeff Feuerzeig,(2016),", Laura Albert, Bruce Benderson, Panio Gianopoulos, Winona Ryder, Ira Silverberg, Savannah Knoop, Courtney Love, Dennis Cooper"
Appointment in Tokyo,66%  6.6,"Documental, Guerra",56min,,Jack Hively,(1945),", Douglas MacArthur, Chester W. Nimitz, James Craig, George C. Kenney"
A Promise to My Father,48%  8.9,Documental,55min,,Tim Gray,(2013),", Israel Arbeiter"
A Christmas in Royal Fashion,61%  5.3,"Drama, Romance",1h 30min,,Fred Olen Ray,(2018),", Cindy Busby, Diarmaid Murtagh, Michael Paré, Adam Levy, Galyn Görg, Meredith Thomas, Jason Cook, Juliana Sada, Ellie Ricker, Gina Hiraizumi, Robert Fleet, Sandra Berns Francis, Mallory Edens, Anna Albrekht, Lotti Pharriss Knowles, Patrick Falvey"
