title,cast,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio
William the Conqueror,", Tiésay Deshayes, Jean-Damien Détouillon, Dan Bronchinson, Geoffroy Lidvan, Thomas Debaene, Pierrick Billard, Gauthier Battoue, Sabine Laurent, Fabrice Colson, Marion Casabianca",,"Adventure, 
                        
                        History, 
                        
                        Drama",French (France),Fabien Drugeon,Jonathan Perrut,Fabien Drugeon,,"Mar 30, 2020",,1h 30m,,,
Wild Colombia Revealed,", Julio Sánchez Cristo",,Documentary,Spanish,Mike Slee,,Mike Slee,,"May 23, 2017",,1h 30m,,,
Undocument,", Julia Krynke, Nabil Elouahabi, Molly Jones, Umit Ulgen, Fiona Whitelaw, Sam Hafez, Chiraz Aich, Ako Ali, Maggie Daniels, Maryam Davari, Phelim Kelly, Amer Patel",,Drama,English (United Kingdom),"Amin Bakhshian , Kyla Simone Bruce","Amin Bakhshian , Kyla Simone Bruce","Amin Bakhshian , Kyla Simone Bruce",,"Jun 28, 2020",,1h 33m,,,
Tour Balas Perdidas en Madrid,", Morat, Aitana, Cali Y El Dandee, Antonio José",,"Documentary, 
                        
                        Music",Spanish,Carlos Sanchez-Llibre,,,,,,1h 56m,,,
The Wild Horse Redemption,,,Documentary,English,John Zaritsky,,"David Cruise , Alison Griffiths",,"Jun 21, 2018",,1h 31m,,,
The Road to Fame,,,Documentary,Chinese,Hao Wu,,,,"Apr 17, 2017",,1h 20m,,,
The Perfect Victim,", Tanya Mitchell, Brendan Roediger",,"Documentary, 
                        
                        Crime, 
                        
                        Drama",English,Elizabeth Rohrbaugh,"Lindsay Nowak , Jerelyn Orlandi",,,"Dec 16, 2016",,1h 22m,,,
The Night Before Christmas,,,"Holiday, 
                        
                        Fantasy",English,,,,,,,8m,,,
The Milky Way,", Zoe Rogers, Minnie Driver, Kirsty Hume, Catarina Hurtig, Rachel Luttrell, Alanis Morissette",,Documentary,English,Jon Fitzgerald,"Jennifer Davidson , Jon Fitzgerald , Chantal Molnar","Jennifer Davidson , Jon Fitzgerald , Chantal Molnar",,"Aug 5, 2016",,1h 33m,,,
The Legend Of Ben Hall,", Jack Martin, Jamie Coffa, William Lee, Joanne Dobbin, Adam Willson, Erica Field",,"Action, 
                        
                        Biography, 
                        
                        History, 
                        
                        Drama, 
                        
                        Western",English (Australia),Matthew Holmes,,Matthew Holmes,,"Aug 1, 2017",,2h 19m,,,
The Flying Deuces,", Stan Laurel, Oliver Hardy, Jean Parker, James Finlayson, Reginald Gardiner, Charles Middleton, Jean Del Val, Richard Cramer, Michael Visaroff",,Comedy,English,A. Edward Sutherland,Boris Morros,"Ralph Spence , Charley Rogers , Fred Schiller , Harry Langdon","Oct 20, 1939 original","Jun 1, 1999",,1h 5m,RKO Radio Pictures,,
The End of the World,", Olaf Fønss, Carl Lauritzen, Ebba Thomsen, Johanne Fritz-Petersen, Thorleif Lund, Alf Blütecher, Frederik Jacobsen, K. Zimmerman",,"Sci-fi, 
                        
                        Drama",,August Blom,Ole Olsen,Otto Rung,"Apr 1, 1916 original",,,1h 17m,Great Northern Film Company,,
The Christmas Elves,,,Fantasy,English,"Chris Bartleman , Diane Eskenazi",,"Hilary Hinckle , Linda Engelsiepen",,,,1h 0m,,,
The Bigamist,", Marcello Mastroianni, Franca Valeri, Giovanna Ralli, Marisa Merlini, Vittorio De Sica, Memmo Carotenuto, Ave Ninchi, Vincenzo Talarico, Guglielmo Inglese, Mario Passante",,Comedy,Italian,Luciano Emmer,"Guido Giambartolomei , Carlo Salsano",Sergio Amidei,,,,1h 50m,,,
Spiral,", Anatoliy Rudenko, Konstantin Kryukov, Klarissa Barskaya, Ramilya Iskander, Veniamin Smehov, Aleksandr Yatsko, Nikita Vysotsky, Konstantin Glushkov",,Action,Russian,Andrey Volgin,,Konstantin Glushkov,,"May 10, 2018",,1h 40m,,,
Snowden,", Joseph Gordon-Levitt, Shailene Woodley, Rhys Ifans, Nicolas Cage, Melissa Leo, Zachary Quinto, Tom Wilkinson, Joely Richardson, Timothy Olyphant, Scott Eastwood, Ben Schnetzer, Logan Marshall-Green, LaKeith Stanfield",R (Some Sexuality/Nudity|Language),"Drama, 
                        
                        Mystery & thriller, 
                        
                        Biography",English,Oliver Stone,"Moritz Borman , Eric Kopeloff , Philip Schulz-Deyle , Fernando Sulichin","Oliver Stone , Kieran Fitzgerald","Sep 16, 2016 wide","Dec 27, 2016",$21.6M,2h 14m,Open Road,Dolby Digital,Scope (2.35:1)
Shor Se Shuruaat,", Rasika Dugal, Atul Kulkarni, Vijay Maurya, Siddharth Menon, Sanjay Mishra, Suyash Joshi",,Drama,Hindi,"Amira Bhargava , Satish Raj Kasireddi , Pratik Kothari , Arunima Sharma , Supriya Sharma , Annie Zaidi , Rahul V. Chittella",Vinay Mishra,"Amira Bhargava , Rahul V. Chittella , Satish Raj Kasireddi , Pratik Kothari , Arunima Sharma , Supriya Sharma",,"May 7, 2019",,2h 35m,,,
Pull of the North,,,Documentary,English,Caroline Coté,,,,,,33m,,,
Port of New York,", Scott Brady, Richard Rober, Yul Brynner, K.T. Stevens, Arthur Blake, Lynne Carter, John Kellogg, William Challee",,"Crime, 
                        
                        Drama",English,Laslo Benedek,Aubrey Schenck,"Bert Murray , Arthur A. Ross , Eugene Ling","Nov 28, 1949 limited","Jan 1, 2003",,1h 19m,,,
Once a Marine,,,"War, 
                        
                        Documentary",English,Stephen Canty,"Stephen Canty , Daniel Howard Seymour",,,"Jan 7, 2021",,1h 5m,,,
Oliver Twist,", Barbara Frawley, Robin Stewart, Wallace Eaton, Derani Scarr, Ross Higgins, Bill Conn, Sean Hinton, Faye Anderson, Robin Ramsay",,"Kids & family, 
                        
                        Drama, 
                        
                        Animation",English (Australia),Richard Slapczynski,George Stephenson,John Palmer,,"Mar 24, 2018",,1h 12m,,,
